uke,antall,numeric_range
2020-01-07/2020-01-13,4,0
2020-01-14/2020-01-20,10,1
2020-01-21/2020-01-27,6,2
2020-01-28/2020-02-03,5,3
2020-02-04/2020-02-10,9,4
2020-02-11/2020-02-17,7,5
2020-02-18/2020-02-24,7,6
2020-02-25/2020-03-02,5,7
2020-03-03/2020-03-09,7,8
2020-03-10/2020-03-16,7,9
2020-03-17/2020-03-23,7,10
2020-03-24/2020-03-30,5,11
2020-03-31/2020-04-06,9,12
2020-04-07/2020-04-13,8,13
2020-04-14/2020-04-20,0,14
2020-04-21/2020-04-27,6,15
2020-04-28/2020-05-04,4,16
2020-05-05/2020-05-11,4,17
2020-05-12/2020-05-18,10,18
2020-05-19/2020-05-25,8,19
2020-05-26/2020-06-01,3,20
2020-06-02/2020-06-08,16,21
2020-06-09/2020-06-15,4,22
2020-06-16/2020-06-22,2,23
2020-06-23/2020-06-29,8,24
2020-06-30/2020-07-06,5,25
2020-07-07/2020-07-13,6,26
2020-07-14/2020-07-20,5,27
2020-07-21/2020-07-27,1,28
2020-07-28/2020-08-03,5,29
2020-08-04/2020-08-10,0,30
2020-08-11/2020-08-17,3,31
2020-08-18/2020-08-24,5,32
2020-08-25/2020-08-31,3,33
2020-09-01/2020-09-07,8,34
2020-09-08/2020-09-14,1,35
2020-09-15/2020-09-21,5,36
2020-09-22/2020-09-28,8,37
2020-09-29/2020-10-05,8,38
2020-10-06/2020-10-12,9,39
2020-10-13/2020-10-19,4,40
2020-10-20/2020-10-26,9,41
2020-10-27/2020-11-02,12,42
2020-11-03/2020-11-09,12,43
2020-11-10/2020-11-16,7,44
2020-11-17/2020-11-23,3,45
2020-11-24/2020-11-30,6,46
2020-12-01/2020-12-07,5,47
2020-12-08/2020-12-14,4,48
2020-12-15/2020-12-21,3,49
2020-12-22/2020-12-28,3,50
2020-12-29/2021-01-04,3,51
2021-01-05/2021-01-11,2,52
2021-01-05/2021-01-11,3,53
2021-01-12/2021-01-18,4,54
2021-01-19/2021-01-25,3,55
2021-01-26/2021-02-01,4,56
2021-02-02/2021-02-08,8,57
2021-02-09/2021-02-15,5,58
2021-02-16/2021-02-22,4,59
2021-02-23/2021-03-01,3,60
2021-03-02/2021-03-08,3,61
2021-03-09/2021-03-15,4,62
2021-03-16/2021-03-22,5,63
2021-03-23/2021-03-29,6,64
2021-03-30/2021-04-05,1,65
2021-04-06/2021-04-12,3,66
2021-04-13/2021-04-19,12,67
2021-04-20/2021-04-26,1,68
2021-04-27/2021-05-03,4,69
2021-05-04/2021-05-10,2,70
2021-05-11/2021-05-17,5,71
2021-05-18/2021-05-24,3,72
2021-05-25/2021-05-31,6,73
2021-06-01/2021-06-07,4,74
2021-06-08/2021-06-14,1,75
2021-06-15/2021-06-21,2,76
2021-06-22/2021-06-28,2,77
2021-06-29/2021-07-05,7,78
2021-07-06/2021-07-12,5,79
2021-07-13/2021-07-19,2,80
2021-07-20/2021-07-26,1,81
2021-07-27/2021-08-02,0,82
2021-08-03/2021-08-09,1,83
2021-08-10/2021-08-16,4,84
2021-08-17/2021-08-23,6,85
2021-08-24/2021-08-30,5,86
2021-08-31/2021-09-06,3,87
2021-09-07/2021-09-13,6,88
2021-09-14/2021-09-20,5,89
2021-09-21/2021-09-27,3,90
2021-09-28/2021-10-04,4,91
