ukestart,antall,numeric_range
2020/01/07,4,0
2020/01/14,10,1
2020/01/21,6,2
2020/01/28,5,3
2020/02/04,9,4
2020/02/11,7,5
2020/02/18,7,6
2020/02/25,5,7
2020/03/03,7,8
2020/03/10,7,9
2020/03/17,7,10
2020/03/24,5,11
2020/03/31,9,12
2020/04/07,8,13
2020/04/14,0,14
2020/04/21,6,15
2020/04/28,4,16
2020/05/05,4,17
2020/05/12,10,18
2020/05/19,8,19
2020/05/26,3,20
2020/06/02,16,21
2020/06/09,4,22
2020/06/16,2,23
2020/06/23,8,24
2020/06/30,5,25
2020/07/07,6,26
2020/07/14,5,27
2020/07/21,1,28
2020/07/28,5,29
2020/08/04,0,30
2020/08/11,3,31
2020/08/18,5,32
2020/08/25,3,33
2020/09/01,8,34
2020/09/08,1,35
2020/09/15,5,36
2020/09/22,8,37
2020/09/29,8,38
2020/10/06,9,39
2020/10/13,4,40
2020/10/20,9,41
2020/10/27,12,42
2020/11/03,12,43
2020/11/10,7,44
2020/11/17,3,45
2020/11/24,6,46
2020/12/01,5,47
2020/12/08,4,48
2020/12/15,3,49
2020/12/22,3,50
2020/12/29,3,51
2021/01/05,2,52
2021/01/05,3,53
2021/01/12,4,54
2021/01/19,3,55
2021/01/26,4,56
2021/02/02,8,57
2021/02/09,5,58
2021/02/16,4,59
2021/02/23,3,60
2021/03/02,3,61
2021/03/09,4,62
2021/03/16,5,63
2021/03/23,6,64
2021/03/30,1,65
2021/04/06,3,66
2021/04/13,12,67
2021/04/20,1,68
2021/04/27,4,69
2021/05/04,2,70
2021/05/11,5,71
2021/05/18,3,72
2021/05/25,6,73
2021/06/01,4,74
2021/06/08,1,75
2021/06/15,2,76
2021/06/22,2,77
2021/06/29,7,78
2021/07/06,5,79
2021/07/13,2,80
2021/07/20,1,81
2021/07/27,0,82
2021/08/03,1,83
2021/08/10,4,84
2021/08/17,6,85
2021/08/24,5,86
2021/08/31,3,87
2021/09/07,6,88
2021/09/14,5,89
2021/09/21,3,90
2021/09/28,5,91
